density,type,speed,time
moderate,std_ped,4.82429720793325,51.1549215406562
moderate,std_ped,4.8154906504398,50.6528409090909
moderate,std_ped,4.93955288720177,49.9468723221937
moderate,std_ped,4.94691111323799,47.5722766399525
moderate,std_ped,4.8896847626766,46.7394555788214
moderate,std_ped,4.93371662588603,47.0887382075472
moderate,std_ped,4.8827300091577,46.9530026109661
moderate,std_ped,4.9383028173695,46.4460912525429
moderate,across_ped,4.85437244414206,49.1139568345324
moderate,across_ped,4.79773066213337,51.6374034887046
moderate,across_ped,4.77502827184624,52.070917929654
moderate,across_ped,4.73689763673554,51.1823410986483
moderate,across_ped,4.73746968608513,53.3251063829787
moderate,across_ped,4.79909790219433,50.7496373658254
moderate,across_ped,4.82054047757017,50.522720777365
moderate,across_ped,4.79486583210017,50.2868640413912
moderate,across_ped,4.74224405261306,52.499145785877
moderate,across_ped,4.84619605594994,50.1450381679389
moderate,along_ped,4.92018035512805,49.6350156829199
moderate,along_ped,4.82999096261087,50.6435643564356
moderate,along_ped,5.00752427472134,48.7637330183107
moderate,along_ped,4.79197197687155,50.6632109834688
moderate,along_ped,4.84040627129423,49.624820040311
moderate,along_ped,4.8752718791261,49.8666286691365
moderate,along_ped,4.90052623595714,52.5037878787879
moderate,along_ped,4.85087501590437,49.0558865248227
moderate,along_ped,4.89988523994432,50.9602437608822
moderate,along_ped,4.77642972317184,49.7585185185185
moderate,all,4.63201704953005,55.6520250998289
moderate,all,4.62418713124268,57.6430602957907
moderate,all,4.70967170439134,55.6505437893532
moderate,all,4.60473423353794,54.6576603325416
moderate,all,4.62126081829923,56.6276967930029
moderate,all,4.66464475740679,54.5368063420159
moderate,all,4.68874132397971,54.6078838174274
moderate,all,4.65186875318935,55.2242828165749
moderate,all,4.6892828365801,54.4982847341338
moderate,all,4.65361493799918,55.1995985087468






